archivo,tipo,origen,lineas,bytes,sha256
app/src/lib/version.ts,ts,escrito,32,1386,09ad877c9bc4ecab60d6eb205dfd2a59e8550471c39609bb4dd3f431e227f609
app/src/lib/voz.ts,ts,escrito,75,2444,3875bd245b987a52be00a79c0c51419408b9b2f05fae30996e3c46419cafc0f9
app/src/pantallas/Apunte.mano.prueba.tsx,tsx,escrito,223,9763,dbadc06c7c973a0c4e537fd60dcfb1441b38467a64549e6e8025eba30d93c189
app/src/pantallas/Apunte.prueba.tsx,tsx,escrito,208,8923,56661ae362deb5535ffcfaed21dd823fb8e2b27f72262b09b3ae73ef0f64b877
app/src/pantallas/Apunte.sinsenal.prueba.tsx,tsx,escrito,118,5382,c37967b817e79cbb961ae1333b89c2e77dbf1e5a4f04c5ad48deed76bbb644c2
app/src/pantallas/Apunte.tsx,tsx,escrito,580,22992,b15844ed8abbc3f96c0e01e47b98f84ff4dfed7f33ec5f994e748b3cb070406d
app/src/pantallas/Asignatura.prueba.tsx,tsx,escrito,387,16973,a7450e8b6d391431fe48a169e55c466a69d440aab2dfc369a041a5d10150a394
app/src/pantallas/Asignatura.tsx,tsx,escrito,841,37094,c45a6f1fe6023903026f47f0de5baba1bf83ea40d29e3ee3f936e9f64d79119c
app/src/pantallas/ClaseEnVivo.prueba.tsx,tsx,escrito,115,4640,f8c2356c7ab2623650ca9eb78f2ed5c53e8938b9a50ae94da3894f259e1d020c
app/src/pantallas/ClaseEnVivo.tsx,tsx,escrito,234,9158,3df3b72d6e236f9a135eda4f77154c2e74c18158d6a3ffe57eb08420b420931e
app/src/pantallas/ClaveNueva.tsx,tsx,escrito,111,4395,64fb1b08a1a591a856a73523a38b7952e1055b0a78f1814440476a8b826ffe49
app/src/pantallas/Consejos.tsx,tsx,escrito,99,3606,82f7db1ba3a59f4cadf74a3fbca463f8bc6ae936760b649f6801e9d284e5bb98
app/src/pantallas/Entrada.tsx,tsx,escrito,34,1219,30f155497c8845d3a3120c973afc7c03840057982d9bdb9c84a7f1c90d6e0185
