paquete,licencia
@jest/fake-timers@29.7.0,"MIT"
@jest/get-type@30.1.0,"MIT"
@jest/globals@29.7.0,"MIT"
@jest/pattern@30.4.0,"MIT"
@jest/reporters@29.7.0,"MIT"
@jest/schemas@29.6.3,"MIT"
@jest/schemas@30.4.1,"MIT"
@jest/source-map@29.6.3,"MIT"
@jest/test-result@29.7.0,"MIT"
@jest/test-sequencer@29.7.0,"MIT"
@jest/transform@29.7.0,"MIT"
@jest/types@29.6.3,"MIT"
@jest/types@30.4.1,"MIT"
@jridgewell/gen-mapping@0.3.13,"MIT"
@jridgewell/remapping@2.3.5,"MIT"
@jridgewell/resolve-uri@3.1.2,"MIT"
@jridgewell/source-map@0.3.11,"MIT"
@jridgewell/sourcemap-codec@1.5.5,"MIT"
@jridgewell/trace-mapping@0.3.31,"MIT"
@react-native-async-storage/async-storage@2.2.0,"MIT"
@react-native/assets-registry@0.86.2,"MIT"
@react-native/assets-registry@0.87.0,"MIT"
@react-native/babel-plugin-codegen@0.86.2,"MIT"
@react-native/codegen@0.86.2,"MIT"
@react-native/community-cli-plugin@0.86.2,"MIT"
@react-native/debugger-frontend@0.86.2,"BSD-3-Clause"
@react-native/debugger-shell@0.86.2,"MIT"
@react-native/dev-middleware@0.86.2,"MIT"
@react-native/gradle-plugin@0.86.2,"MIT"
@react-native/jest-preset@0.86.2,"MIT"
@react-native/js-polyfills@0.86.2,"MIT"
@react-native/normalize-colors@0.74.89,"MIT"
@react-native/normalize-colors@0.86.2,"MIT"
@react-native/virtualized-lists@0.86.2,"MIT"
@react-navigation/bottom-tabs@7.18.17,"MIT"
@react-navigation/core@7.21.13,"MIT"
@react-navigation/elements@2.9.39,"MIT"
@react-navigation/native-stack@7.18.9,"MIT"
@react-navigation/native@7.3.17,"MIT"
@react-navigation/routers@7.6.4,"MIT"
@sinclair/typebox@0.27.12,"MIT"
@sinclair/typebox@0.34.52,"MIT"
@sinonjs/commons@3.0.1,"BSD-3-Clause"
@sinonjs/fake-timers@10.3.0,"BSD-3-Clause"
@supabase/auth-js@2.112.4,"MIT"
@supabase/functions-js@2.112.4,"MIT"
@supabase/phoenix@0.4.5,"MIT"
@supabase/postgrest-js@2.112.4,"MIT"
@supabase/realtime-js@2.112.4,"MIT"
@supabase/storage-js@2.112.4,"MIT"
@supabase/supabase-js@2.112.4,"MIT"
@testing-library/react-native@14.0.1,"MIT"
@tootallnate/once@2.0.1,"MIT"
@types/babel__core@7.20.5,"MIT"
@types/babel__generator@7.27.0,"MIT"
@types/babel__template@7.4.4,"MIT"
@types/babel__traverse@7.28.0,"MIT"
@types/graceful-fs@4.1.9,"MIT"
@types/istanbul-lib-coverage@2.0.6,"MIT"
@types/istanbul-lib-report@3.0.3,"MIT"
@types/istanbul-reports@3.0.4,"MIT"
